,title,price,Desc
0,Suzuki Alto LXI 2016,"Rs 2,625,000","Colombo, "
1,Suzuki Alto LXI 2015,"Rs 2,650,000","Colombo, "
2,Suzuki Alto LXI Indian 2015,"Rs 2,690,000","Colombo, "
3,Suzuki Alto 2015,"Rs 2,760,000","Gampaha, "
4,Suzuki Alto LXI-800 2013,"Rs 2,600,000","Gampaha, "
5,Suzuki Alto LXI 2016,"Rs 2,950,000","Colombo, "
6,Suzuki Alto Lxi 2015,"Rs 2,650,000","Colombo, "
7,Suzuki Alto 800 2015,"Rs 2,795,000","Colombo, "
8,Suzuki Alto 2015,"Rs 2,775,000","Kegalle, "
9,Suzuki Alto Safety S Japan 2017,"Rs 4,200,000","Colombo, "
10,Suzuki Alto 2015,"Rs 2,575,000","Colombo, "
11,Suzuki Alto 2015,"Rs 2,650,000","Badulla, "
12,Suzuki Alto 2006,"Rs 2,500,000","Gampaha, "
13,Suzuki Alto japan 2005,"Rs 2,790,000","Kalutara, "
14,Suzuki Alto Japan 2016,"Rs 3,950,000","Colombo, "
15,Suzuki Alto 2013,"Rs 2,075,000","Kalutara, "
16,Suzuki Alto 2015,"Rs 2,950,000","Galle, "
17,Suzuki Alto 2015,"Rs 4,575,000","Colombo, "
18,Suzuki Alto K10 2015,"Rs 3,225,000","Matara, "
19,Suzuki Alto LXI 800 2015,"Rs 3,090,000","Puttalam, "
20,Suzuki Alto Sport Edition 2011,"Rs 2,325,000","Polonnaruwa, "
21,Suzuki Alto Japan Safety 2018,"Rs 4,050,000","Colombo, "
22,Suzuki Alto 2014,"Rs 2,755,000","Kalutara, "
23,Maruti Suzuki Alto 800 LXI 2015,"Rs 2,600,000","Colombo, "
24,Suzuki Alto 2011,"Rs 2,300,000","Colombo, "
25,Suzuki Alto lxi sports 2011,"Rs 2,390,000","Badulla, "
26,Suzuki Alto 2010,"Rs 2,050,000","Kurunegala, "
27,Maruti Suzuki Alto RS 2015,"Rs 5,250,000","Gampaha, "
28,Suzuki Alto LXI 800 2015,"Rs 2,800,000","Matara, "
29,Suzuki Alto 2010,"Rs 2,295,000","Colombo, "
30,Maruti Suzuki Alto LXI 2010,"Rs 2,395,000","Kandy, "
31,Suzuki Alto Auto 2004,"Rs 2,975,000","Colombo, "
32,Suzuki Alto 800LXI 2015,"Rs 2,825,000","Trincomalee, "
33,Suzuki Alto 2015,"Rs 2,625,000","Kalutara, "
34,Suzuki Alto RS 2015,"Rs 4,800,000","Kalutara, "
35,Suzuki Alto 2011,"Rs 2,650,000","Anuradhapura, "
36,Suzuki Alto 2015,"Rs 2,650,000","Matara, "
37,Suzuki Alto 2008,"Rs 2,000,000","Polonnaruwa, "
38,Suzuki Alto LXI 2015,"Rs 2,775,000","Kurunegala, "
39,Suzuki Alto LXI 800 2016,"Rs 2,900,000","Colombo, "
40,Suzuki Alto 800 LXi 2015,"Rs 2,825,000","Trincomalee, "
41,Suzuki Alto LXI 2007,"Rs 1,925,000","Kalutara, "
42,Suzuki Alto 2003,"Rs 2,900,000","Kandy, "
43,Suzuki Alto 2011,"Rs 2,225,000","Anuradhapura, "
44,Suzuki Alto japan Silvert 2004,"Rs 3,175,000","Matara, "
45,Suzuki Alto Black 2015,"Rs 2,860,000","Matara, "
46,Maruti Suzuki Alto 2015,"Rs 2,525,000","Gampaha, "
47,Maruti Suzuki Alto Sports edition 2012,"Rs 1,995,000","Gampaha, "
48,Suzuki Alto K10 2011,"Rs 2,390,000","Kurunegala, "
49,Suzuki Alto 2005,"Rs 1,760,000","Galle, "
50,Suzuki Alto 2007,"Rs 2,500,000","Polonnaruwa, "
51,Maruti Suzuki Alto 2015,"Rs 2,850,000","Badulla, "
52,Suzuki Alto 2014,"Rs 2,880,000","Ratnapura, "
53,Suzuki Alto 2015,"Rs 3,200,000","Anuradhapura, "
54,Suzuki Alto JAPAN 2018,"Rs 5,290,000","Colombo, "
55,Suzuki Alto 2015,"Rs 2,600,000","Galle, "
56,Suzuki Alto Japan UN/RE 2018,"Rs 6,800,000","Colombo, "
57,Suzuki Alto 50400 2016,"Rs 2,775,000","Ratnapura, "
58,Suzuki Alto 2015,"Rs 2,900,000","Gampaha, "
59,Suzuki Alto 2015,"Rs 2,775,000","Colombo, "
60,Suzuki Alto 2015,"Rs 2,700,000","Galle, "
61,Suzuki Alto Japan 2017,"Rs 4,800,000","Kandy, "
62,Suzuki Alto Low Millage 2015,"Rs 2,650,000","Gampaha, "
63,Suzuki Alto 2010,"Rs 2,850,000","Ratnapura, "
64,Suzuki Alto Japan 2017,"Rs 4,200,000","Kalutara, "
65,Suzuki Alto JAPAN 2019,"Rs 4,450,000","Colombo, "
66,Suzuki Alto 2012,"Rs 2,600,000","Gampaha, "
67,Suzuki Alto Japan 2016,"Rs 4,800,000","Kandy, "
68,Suzuki Alto 2015,"Rs 2,720,000","Kandy, "
69,Suzuki Alto 2015,"Rs 2,675,000","Matara, "
70,Suzuki Alto 2011,"Rs 2,390,000","Colombo, "
71,Suzuki Alto 2007,"Rs 1,985,000","Matara, "
72,Suzuki Alto 2016,"Rs 2,775,000","Ratnapura, "
73,Suzuki Alto 2015,"Rs 3,500,000","Gampaha, "
74,Suzuki Alto 2004,"Rs 1,500,000","Ratnapura, "
75,Suzuki Alto K10 2016,"Rs 3,525,000","Colombo, "
76,Suzuki Alto LXI Full Option 2016,"Rs 3,290,000","Colombo, "
77,Suzuki Alto 800 Lxi 2015,"Rs 2,680,000","Hambantota, "
78,Suzuki Alto Auto 2017,"Rs 4,590,000","Colombo, "
79,Suzuki Alto Japan 2007,"Rs 3,650,000","Colombo, "
80,Suzuki Alto 2006,"Rs 2,250,000","Colombo, "
